Date,Truck ID,Drive ID,KM Traveled,Liters,Fuel,Maintenance,Fixed Costs
1/1/2018,2,2,4594,1303.06,4077.49,1011.93,10502.60
1/1/2018,6,4,3816,899.14,2813.7,1561.78,6092.16
1/1/2018,17,9,7116,2128.46,6491,1324.12,11930.90
1/1/2018,19,11,2724,669.73,2123.58,560.17,7428.02
1/1/2018,20,12,3862,723.02,2378.19,648.11,6735.39
1/1/2018,22,14,5074,1000.59,3200.11,416.48,7064.38
1/1/2018,29,21,3160,589.89,1827.01,624.76,6981.43
1/1/2018,33,24,3928,699.81,2242.8,506.32,6770.10
1/1/2018,36,1,382,128.27,436.01,1240.44,10154.44
1/1/2018,38,27,2474,561.55,1816.46,263.13,6949.23
1/1/2018,3,1,4059,1215.73,3812.29,1220.22,10792.36
1/1/2018,5,1,1159,229.92,720.15,881.95,7218.48
1/1/2018,4,3,3416,631.77,1916.03,896.56,5184.42
1/1/2018,7,5,2329,500.31,1604.29,390.12,7143.30
1/1/2018,23,15,3306,564.51,1810.94,387.92,7160.48
1/1/2018,24,16,3799,928.08,2958.22,325.27,8168.40
1/1/2018,28,20,2595,480.84,1461.27,791.48,6574.74
1/1/2018,34,1,0,0,0,929.45,7212.14
1/1/2018,37,26,2327,404.54,1369.06,420.14,7023.41
2/1/2018,2,2,4682,1346.76,4205.84,1327.42,10464.82
2/1/2018,6,4,1007,244.18,755.54,2095.77,6387.82
2/1/2018,17,9,2283,693.28,2103.32,1725.49,12185.00
2/1/2018,19,11,4987,1159.62,3690.94,759.18,6381.56
2/1/2018,20,12,2341,405.92,1345.4,844.54,7768.33
2/1/2018,22,14,5179,1042.68,3297.53,558.39,7097.77
2/1/2018,29,21,4031,762.4,2287.2,541.76,6788.08
2/1/2018,33,24,3893,700.36,2308.49,679.94,6573.90
2/1/2018,36,1,75,27.46,91.44,1599.52,10116.66
2/1/2018,38,27,921,102.83,359.82,337.99,6826.67
2/1/2018,3,1,2875,837.61,2562.87,1590.62,10754.58
2/1/2018,5,15,2296,426.77,1306.89,1170.86,7468.46
2/1/2018,4,3,3936,688.87,2130.24,1190.51,7710.09
2/1/2018,7,5,2552,552.35,1730.55,507.47,7259.98
2/1/2018,23,30,2839,493.31,1557.88,514.29,7683.14
2/1/2018,24,16,2176,550.44,1755.05,419.42,7344.80
2/1/2018,28,20,3720,671.97,2019.78,1065.58,6672.57
2/1/2018,34,1,3176,850,770.04,1280.74,7062.14
2/1/2018,37,26,2938,510.79,1742.4,541.76,6873.30
3/1/2018,2,2,5656,1650.29,5082.67,1295.43,10171.41
3/1/2018,17,9,4506,1332.55,4057.72,1697.17,12557.20
3/1/2018,19,11,4104,1024.25,3265.02,739.71,7325.59
3/1/2018,20,12,5332,926.25,3062.06,834.27,7768.33
3/1/2018,22,14,5046,1021.82,3262.46,580.05,7381.13
3/1/2018,29,21,2628,490.07,1484.66,795.21,6592.75
3/1/2018,33,24,5050,892.62,2942.21,695.79,7108.28
3/1/2018,36,1,1831,541.31,1752.42,1579.02,9823.25
3/1/2018,38,27,2372,494.57,1730.57,329.33,7103.39
3/1/2018,3,1,4127,1184.74,3637.16,1583.05,10461.17
3/1/2018,4,3,4783,799.53,2450.91,1159.98,7599.24
3/1/2018,5,1,3534,648,1998.16,1140.83,7218.48
3/1/2018,7,5,3233,707.22,2245.18,494.46,7135.87
3/1/2018,23,30,4813,796.03,2616.02,501.11,7722.91
3/1/2018,24,16,5550,1240.08,4111.43,411.75,8025.62
3/1/2018,28,20,3793,713.5,2166.23,1061.62,7058.95
3/1/2018,34,1,1396,353.68,1078.56,1290.98,7512.14
3/1/2018,37,26,1496,264.93,902.6,534.02,7460.49
4/1/2018,2,2,2236,647.65,2215.57,1271.29,10502.72
4/1/2018,17,9,5149,1222.74,4033.42,1678.51,11972.99
4/1/2018,19,11,6391,1643.17,5523.08,732.22,7619.21
4/1/2018,20,12,4585,807.27,2807.92,843.27,7679.79
4/1/2018,22,14,3782,764.23,2549.55,587.82,7172.75
4/1/2018,29,21,3875,762.92,2319.42,778.33,6969.95
4/1/2018,33,24,4341,777.52,2629.15,682.24,6712.20
4/1/2018,36,1,801,219.12,706.22,1539.54,10154.57
4/1/2018,38,27,1593,317.04,1105.84,328.45,6833.26
4/1/2018,3,1,7013,1977.57,6376.09,1518.74,10792.49
4/1/2018,4,3,3202,512.73,1606.41,1140.42,7557.57
4/1/2018,5,1,1944,368.32,1195.63,1135.66,7218.48
4/1/2018,7,5,4619,1000.75,3258.87,482.1,7372.99
4/1/2018,23,30,5280,881.83,2947.01,488.52,7268.76
4/1/2018,24,16,5294,1176.6,4096.18,401.45,8150.23
4/1/2018,28,20,4665,788.98,2489.72,1071.28,6811.09
4/1/2018,34,25,1879,477.57,1596.71,1271.2,6346.86
4/1/2018,37,26,2175,399.01,1383.58,520.67,7267.31
5/1/2018,2,2,4643,1475.36,5154.32,1338.03,10338.00
5/1/2018,17,9,3598,1113.65,3884.66,1661.77,11839.66
5/1/2018,19,11,6350,1651.76,5932.92,727.42,7699.94
5/1/2018,20,12,4789,895.09,3285.71,822.7,7785.72
5/1/2018,22,14,5109,1001.65,3586.22,616.04,7206.53
5/1/2018,29,21,3759,785.88,2548.33,759.76,6751.04
5/1/2018,33,24,3576,629.46,2214.35,670.48,6506.88
5/1/2018,36,1,1182,392.76,1429.82,1502.97,9989.84
5/1/2018,38,27,1953,333.91,1172.41,321.18,6821.72
5/1/2018,3,1,5761,1541.14,5303.03,1493.38,10627.76
5/1/2018,4,3,1144,209.43,733.45,1157.08,7644.53
5/1/2018,5,1,3048,644.51,2299.4,1150.77,7293.48
5/1/2018,7,5,4377,1128.38,3878.31,472.29,7342.75
5/1/2018,23,30,3511,726.29,2518.86,505.07,6884.40
5/1/2018,24,16,6017,1495.87,5496.76,396.05,8051.91
5/1/2018,24,16,5636,1521.44,5292.03,625.89,8467.62
5/1/2018,28,20,2837,530.38,1624.78,1046.83,6373.51
5/1/2018,34,4,2250,619.63,2179.56,1273.16,6035.83
5/1/2018,37,26,3092,521.82,1808.29,523.43,7077.83
6/1/2018,2,2,6572,1885.3,6008.38,1317.23,9109.19
6/1/2018,17,9,4805,1511.86,4817.89,1622.2,11419.56
6/1/2018,19,11,5890,1289.87,4207.23,746.52,7562.83
6/1/2018,20,12,4499,771.3,2559.44,803.11,7782.24
